Lattice Size (NxN),Total Steps,Steps Used in Analysis,Burnin Steps,Interaction Strength,Applied Mag Field,Spin Prop
20,100000,50000,0,1.0,0.0,0.1

Temperature,K,Spatial Spin Correlation
2.0,1,0.00170131578947
2.0,2,0.000122368421053
2.0,3,-0.000561842105263
2.0,4,-0.000903947368421
2.0,5,-0.000969736842105
2.0,6,-0.000706578947368
2.0,7,-0.000693421052632
2.0,8,-0.000969736842105
2.0,9,-0.000680263157895
2.1,1,0.00224342105263
2.1,2,-0.000585526315789
2.1,3,-0.00119078947368
2.1,4,-0.00153289473684
2.1,5,-0.00100657894737
2.1,6,-0.000335526315789
2.1,7,-0.000269736842105
2.1,8,-0.00100657894737
2.1,9,-0.00146710526316
2.2,1,0.00290789473684
2.2,2,-0.000236842105263
2.2,3,-0.000565789473684
2.2,4,-0.00146052631579
2.2,5,-0.00180263157895
2.2,6,-0.00105263157895
2.2,7,-0.00165789473684
2.2,8,-0.000881578947368
2.2,9,-0.00128947368421
2.3000000000000003,1,0.0149960526316
2.3000000000000003,2,0.00581184210526
2.3000000000000003,3,0.003075
2.3000000000000003,4,-0.00126710526316
2.3000000000000003,5,-0.00556973684211
2.3000000000000003,6,-0.006925
2.3000000000000003,7,-0.00738552631579
2.3000000000000003,8,-0.00774078947368
2.3000000000000003,9,-0.00962236842105
2.4000000000000004,1,0.0105539473684
2.4000000000000004,2,0.00339605263158
2.4000000000000004,3,-0.000459210526316
2.4000000000000004,4,-0.00331447368421
2.4000000000000004,5,-0.00459078947368
2.4000000000000004,6,-0.00556447368421
2.4000000000000004,7,-0.00505131578947
2.4000000000000004,8,-0.00436710526316
2.4000000000000004,9,-0.00420921052632
